idx;stop_epoch;window_length;n_filters;kernel_size;n_conv_layer;LSTM1_units;LSTM2_units;n_window;val_rmse;val_score;rmse_combined;score_combined;AIC;train_loss;mle_term;params_term;geno_list
0;15;3;8;3;1;260;260;28;14,26144981;1359,872925;14,50207476;1383,935419;2406249,421;144,7953186;78943,42068;2327306;"[3; 8; 1; 13; 13]"
0;15;2;4;2;1;220;120;29;14,27265739;1159,916992;14,372439;1169,895153;997816,0718;193,8651428;83574,07179;914242;"[2; 4; 1; 11; 6]"
0;15;3;3;3;1;240;120;28;14,27409744;1102,202026;14,38781828;1113,57411;1137208,329;215,6298523;85262,32874;1051946;"[3; 3; 1; 12; 6]"
0;14;3;2;3;2;300;140;28;14,27454376;1078,30249;14,42485672;1093,333786;1503129,581;200,2418976;84087,581;1419042;"[3; 2; 2; 15; 7]"
0;18;2;4;2;2;200;160;29;14,27465248;1309,449097;14,37923763;1319,907611;1045851,473;163,359314;80857,47284;964994;"[2; 4; 2; 10; 8]"
0;15;4;4;4;1;280;120;27;14,2806263;1089,159424;14,44075544;1105,172338;1601291,451;200,4675446;84105,45101;1517186;"[4; 4; 1; 14; 6]"
0;19;2;7;2;1;140;140;29;14,2807579;1201,167969;14,35833987;1208,926165;775819,6592;180,0114899;82397,65915;693422;"[2; 7; 1; 7; 7]"
0;20;2;10;2;1;240;120;29;14,28283501;1145,951416;14,42605194;1160,273109;1432169,336;194,7623596;83647,33559;1348522;"[2; 10; 1; 12; 6]"
0;20;2;7;2;1;180;180;29;14,28662682;1209,348999;14,4012127;1220,807588;1145858,867;173,3229218;81796,86746;1064062;"[2; 7; 1; 9; 9]"
0;19;2;4;2;1;240;140;29;14,2888279;1223,294067;14,40764355;1235,175633;1188156,529;185,0366516;82834,52908;1105322;"[2; 4; 1; 12; 7]"
0;19;2;4;2;2;240;100;29;14,28934765;1314,175171;14,39301355;1324,541761;1036658,968;200,461441;84104,96791;952554;"[2; 4; 2; 12; 5]"
0;15;4;2;4;2;240;160;27;14,29035378;1195,076172;14,41781864;1207,822659;1274648,672;178,666626;82278,67194;1192370;"[4; 2; 2; 12; 8]"
0;15;3;4;3;1;360;120;28;14,29329586;1101,623047;14,50033066;1122,326527;2070348,02;201,0821228;84154,02045;1986194;"[3; 4; 1; 18; 6]"
0;18;5;9;5;2;100;100;26;14,29556942;1120,762939;14,38011161;1129,217158;845421,886;218,9928894;85507,88595;759914;"[5; 9; 2; 5; 5]"
0;16;2;2;2;1;240;160;29;14,30190182;1087,89856;14,41877094;1099,585472;1168691,242;206,4136658;84569,24153;1084122;"[2; 2; 1; 12; 8]"
0;20;2;7;2;2;120;120;29;14,30346775;1354,643188;14,36570228;1360,866641;622345,302;176,7919006;82111,30196;540234;"[2; 7; 2; 6; 6]"
